ime,category
"withdrawing room","drawing room"
punkey,punkie
"breaking away",breakaway
"Pseudemys rubriventris","red-bellied terrapin"
jack-o-lantern,"jack-o-lantern fungus"
psychopath,sociopath
underfur,undercoat
setback,reverse
cushion,"shock absorber"
"sonic delay line","acoustic delay line"
dislike,disfavor
broadening,widening
"white matsutake","Armillaria ponderosa"
sheeny,kike
"Iliamna acerifolia","mountain hollyhock"
"urban typhus","murine typhus"
"English ivy",ivy
bugger,sodomite
"botulinus toxin",botulin
"Roman mile",mile
"synthetic rubber",rubber
"Cola acuminata",kola
"mother fucker",asshole
bigwig,kingpin
"garden egg",eggplant
kiaat,"bloodwood tree"
"Mahonia nervosa","Oregon grape"
tinner,tinsmith
"crystal tea","Labrador tea"
"unleaded petrol","unleaded gasoline"
"mental energy","psychic energy"
"Gyps fulvus","griffon vulture"
crabapple,"crab apple"
crabapple,"wild apple"
"juke joint",juke
"embryonal rhabdosarcoma","embryonal rhabdomyosarcoma"
habitant,inhabitant
igniter,lighter
taira,tayra
"Carissa macrocarpa","natal plum"
"Mycobacterium leprae","leprosy bacillus"
"Collinsia parviflora","maiden blue-eyed Mary"
"Alectura lathami","brush turkey"
"Acer argutum","pointed-leaf maple"
"water pore",hydathode
"financial statement",statement
"Acanthus mollis","bear's breech"
deception,misrepresentation
deception,"magic trick"
"red trillium","purple trillium"
"Prunus serotina","black cherry"
"Isurus oxyrhincus","shortfin mako"
dillydallier,dallier
"freedom fighter",insurgent
"Dacrydium bidwilli",tarwood
"Caulophyllum thalictrioides","blue cohosh"
hotplate,"hot plate"
civilization,culture
civilization,refinement
"worldly belongings","worldly possessions"
taint,contamination
expression,saying
expression,formulation
expression,formula
expression,construction
eyeshot,view
rhabdomancy,dowse
cleistocarp,cleistothecium
"apothecaries' weight","apothecaries' unit"
"silk cotton",kapok
"Amanita rubescens","blushing mushroom"
tunnage,tonnage
mind-set,mentality
sextette,sextet
debenture,"unsecured bond"
tails,"dress suit"
"Campanula americana","tall bellflower"
"grayish brown",dun
"Pinus parryana","Parry's pinyon"
demographist,demographer
"Andropogon furcatus",bluestem
basketful,basket
mainsheet,sheet
"Arrhenius theory of dissociation","theory of dissociation"
"bella sombra",ombu
occupant,resident
slowworm,blindworm
ribbonfish,oarfish
"color television tube","color tube"
diddly,jack
rubberneck,sightseer
"Allium cepa aggregatum",shallot
inspirer,galvanizer
"shelter deck","weather deck"
"Cystopteris montana","mountain bladder fern"
interpretation,rendition
"Canis lupus","timber wolf"
"lyric poem",lyric
tettigoniid,"long-horned grasshopper"
unionist,"trade unionist"
ignitor,igniter
ignitor,lighter
slideway,chute
"ad campaign","advertising campaign"
"shittah tree",shittah
shadowiness,shade
nativity,birth
rasher,"vermillion rockfish"
castrate,eunuch
"Matricaria tchihatchewii","turfing daisy"
"Cirsium helenioides","melancholy thistle"
"commercial activity","business activity"
spectrometry,spectroscopy
vomitus,vomit
beauty,smasher
"balata tree",balata
"mole rat","bandicoot rat"
"cogent evidence",proof
"lymph gland","lymph node"
"Cupid's disease","venereal disease"
"microphone boom",boom
spectrometer,"mass spectrometer"
miscellany,assortment
miscellany,florilegium
"Hottentot's bread vine",elephant's-foot
philology,linguistics
dicotyledon,dicot
teardrop,tear
"guardian angel","guardian spirit"
stopping,fillet
"Alectis ciliaris",threadfish
"low-salt diet","low-sodium diet"
warhorse,veteran
knickers,breeches
knickers,bloomers
"preen gland","uropygial gland"
"missionary post",mission
potamogale,"otter shrew"
"creature comforts",comforts
"limited review",review
"liquid ecstasy",soap
invitee,guest
"Order of Our Lady of Mount Carmel","Carmelite order"
"whiplash injury",whiplash
"Schlumbergera baridgesii","Christmas cactus"
"creeping thyme","wild thyme"
"written material",writing
"Raja erinacea","little skate"
brierwood,briarwood
novice,novitiate
seedman,seedsman
"bottlenose whale","bottle-nosed whale"
"defence mechanism","defense mechanism"
"underwater archeology","marine archeology"
"Agelaius phoeniceus","red-winged blackbird"
"perfective aspect",perfective
"gray goldenrod","grey goldenrod"
precept,principle
precept,teaching
windbag,gasbag
archness,impertinence
legalisation,legalization
"Acacia catechu",catechu
courtesan,concubine
"shining sumac","dwarf sumac"
soap-weed,soapweed
laterality,lateralization
laterality,handedness
"scorpion fish",scorpionfish
polychete,polychaete
"tamping bar",tamp
"prairie fire",grassfire
inherency,inherence
dueller,dueler
warrigal,dingo
windcheater,parka
"open-air marketplace","open-air market"
"Peperomia argyreia","watermelon begonia"
"ticket booth","box office"
donkeywork,drudgery
how-do-you-do,hello
"garbage carter","garbage man"
readability,legibility
"Newton's third law","third law of motion"
"winter rose","Christmas rose"
"spore sac",sporangium
"Falco tinnunculus",kestrel
divorcement,divorce
"rhesus monkey",rhesus
lyophilisation,freeze-drying
well-being,wellbeing
repair,haunt
"Swertia speciosa","green gentian"
patrikin,agnate
hydrocephaly,hydrocephalus
market,"grocery store"
market,marketplace
cocoyam,taro
tortoiseshell-cat,tortoiseshell
"Indian tobacco","wild tobacco"
"Kan River","Gan Jiang"
"Antheraea mylitta",tussah
"Combretum erythrophyllum","bush willow"
"mocking thrush",thrasher
"super C",K
posterboard,paperboard
requisite,necessity
"whisky sour","whiskey sour"
"trumpet flower","chalice vine"
"trumpet flower","cross vine"
"trumpet flower","trumpet honeysuckle"
beaver,"dress hat"
"California sage","California sagebrush"
"temperature reduction",cooling
"weight gainer",gainer
"Prosopis juliflora",algarroba
lespedeza,"bush clover"
junto,cabal
scathe,damage
junta,"military junta"
alternate,surrogate
duffle,"duffel bag"
duffle,duffel
"arteria lacrimalis","lacrimal artery"
mearstone,merestone
"woolsorter's pneumonia","pulmonary anthrax"
"low temperature",coldness
"stem canker","little potato"
"rank-order correlation","rank-order correlation coefficient"
"conservation of electricity","conservation of charge"
"eternal damnation",damnation
trillion,million
"Anthus pratensis","meadow pipit"
bobsleigh,bobsled
"Salix repens","creeping willow"
"silver pine","westland pine"
"silver pine","western white pine"
"Boehmeria nivea",ramie
thrombokinase,thromboplastin
"cortical potential",brainwave
stereoscopy,"stereoscopic vision"
"Prunus incisa",fuji
"kin group",kin
"musculus anconeus","anconeous muscle"
"musculus pectoralis",pectoral
"piece of tail",fuck
logotype,logo
stutter,stammer
"internal angle","interior angle"
"musculus teres major","teres major"
"agua toad",agua
"Australian grass tree","grass tree"
injectant,injection
loop-the-loop,loop
"land site",site
"Prunus cerasus","sour cherry"
ectoblast,ectoderm
"Mycteria americana","wood ibis"
"special relativity theory","special relativity"
"haemophilia A","hemophilia A"
"haemophilia B","hemophilia B"
"sulphur hexafluoride","sulfur hexafluoride"
yakety-yak,yak
"Australian nettle tree","Australian nettle"
"ocean perch",redfish
"ocean perch",rosefish
"branding iron",iron
paysheet,payroll
pedaller,pedaler
"sugar shell","sugar spoon"
equilibrium,"chemical equilibrium"
equilibrium,balance
"Levi-Lorrain dwarf","pituitary dwarf"
"abdominal external oblique muscle","external oblique muscle"
vehicle,fomite
micromicron,picometer
clipper,limiter
"Listera ovata",twayblade
reserves,militia
"storm lantern","hurricane lamp"
towelling,toweling
whodunit,mystery
"system of numeration","numeration system"
"a capella singing","a cappella singing"
conundrum,riddle
whinny,neigh
"downy cheat","downy brome"
"heroic tale","adventure story"
"Cordyline terminalis",ti
"Weber-Fechner law","Fechner's law"
"egg cell",ovum
"Gopherus polypemus","gopher tortoise"
nothingness,wind
"petrol bomb","Molotov cocktail"
"gluteus muscle",gluteus
"Peronospora tabacina","blue mold fungus"
offer,crack
"groundwater level","water table"
"axial motion","axial rotation"
"movie making",moviemaking
anti-intellectual,philistine
"Piranga flava hepatica","hepatic tanager"
"Carduelis cannabina",linnet
"aphis lion","aphid lion"
"television announcer","tv announcer"
salmwood,"Spanish elm"
suppression,inhibition
"survivorship annuity","reversionary annuity"
stumbler,bungler
glint,flicker
stonemason,mason
"Malacosoma americana","tent-caterpillar moth"
broadsheet,circular
"women's liberation movement","feminist movement"
baldrick,baldric
highflyer,highflier
"movie camera","motion-picture camera"
"valedictory oration",valediction
tiredness,fatigue
ectasis,ectasia
granadillo,"granadilla tree"
"Eruca sativa",rocket
millrun,millrace
"Gerea canescens","desert sunflower"
kiosk,booth
"windscreen wiper","windshield wiper"
"Rhus laurina","laurel sumac"
twirler,"baton twirler"
twirler,pitcher
lowercase,"small letter"
"Botany Bay fig","Port Jackson fig"
"rubber plant","India-rubber tree"
"Pilosella aurantiaca","orange hawkweed"
"custard apple tree","custard apple"
amylum,starch
"setting hen","brood hen"
"enclosed space",cavity
"granting immunity",exemption
"pep pill",amphetamine
"Plethodon cinereus","eastern red-backed salamander"
tamarao,tamarau
junky,"drug addict"
junky,addict
"dorsal horn","dorsal root"
duffel,"duffel bag"
paraffin,"methane series"
"Naemorhedus goral",goral
years,"old age"
years,"long time"
years,days
rhabdosarcoma,rhabdomyosarcoma
"piece goods","yard goods"
unavailability,inaccessibility
"Catoptrophorus semipalmatus",willet
"finger grass",crabgrass
"high-energy physics","particle physics"
"Rocky Mountain bristlecone pine","bristlecone pine"
jacaranda,"Brazilian rosewood"
repast,meal
glitz,flashiness
"nervus spinalis","spinal nerve"
"vanadic acid","vanadium pentoxide"
"Oxalis caprina",goatsfoot
"mandibular condyle","condylar process"
"wind gage",anemometer
"summer squash vine","summer squash"
compassionateness,compassion
no-hitter,"no-hit game"
"Cheilanthes alabamensis","smooth lip fern"
"futures market","futures exchange"
"word accent","word stress"
"aeolian lyre","aeolian harp"
"common soldier",private
checkout,check
payable,"account payable"
snapline,"chalk line"
"Armoracia rusticana",horseradish
"crescent-cell anemia","sickle-cell anemia"
"school of music","music school"
"Aquila chrysaetos","golden eagle"
"tower mustard","tower cress"
"Taxodium ascendens","pond cypress"
"immediate apprehension",immediacy
formula,recipe
formula,convention
formula,rule
freethinking,rationalism
"Hyacinthus orientalis","common hyacinth"
"Valerianella locusta","common corn salad"
asafoetida,asafetida
"extreme unction","anointing of the sick"
coldness,cold
tarweed,gumweed
"white cell",leukocyte
"Agaricus campestris","meadow mushroom"
"Hindu numeral","Arabic numeral"
"bahia coquilla","piassava palm"
"Quercus virginiana","southern live oak"
titan,colossus
"Piranga ludoviciana","western tanager"
"Stictopelia cuneata","Australian turtledove"
genuflexion,genuflection
"Egyptian paper rush",papyrus
execution,performance
execution,murder
cholestasis,acholia
"mass murder",slaughter
clerid,"clerid beetle"
"Aster tripolium","sea aster"
"Amphiprion percula","clown anemone fish"
"redback vole","red-backed mouse"
accumulation,accretion
accumulation,collection
"Delphinium ajacis","rocket larkspur"
alphabetiser,alphabetizer
"tenth part",one-tenth
reticence,reserve
"cold gangrene","dry gangrene"
"human knee",knee
"Cibotium barometz","Scythian lamb"
"trawl line",trawl
"Canis latrans",coyote
"Alnus veridis","green alder"
"potassium bitartrate","cream of tartar"
"one percent",one-hundredth
pilchard,sardine
wagon,"police van"
wagon,"beach wagon"
"beggar lice","beggar's lice"
"beggar lice","tick trefoil"
"breakfast nook","breakfast area"
"gunny sack",gunnysack
executive,administrator
"XOR circuit","X-OR circuit"
totalitarianism,absolutism
ricketiness,unsteadiness
"class-action suit","class action"
"Felis domesticus","domestic cat"
"High Dam","Aswan High Dam"
marque,"trade name"
"spear thistle","bull thistle"
kafir,kaffir
"Chaetodipterus faber",spadefish
"sense of movement",kinesthesis
endodontia,endodontics
"Indian paintbrush","butterfly weed"
glide,semivowel
glide,slide
whimsy,notion
whimsy,flightiness
"diving dress","diving suit"
ledgeman,breaker
"garboard strake",garboard
"venereal wart","genital wart"
"Fagus sylvatica purpurea","copper beech"
fecundation,fertilization
"fenugreek seed",fenugreek
microphallus,micropenis
stilbestrol,diethylstilbestrol
subject,discipline
subject,topic
subject,national
"smoking compartment",smoker
"young girl",lass
"myotonia atrophica","myotonic muscular dystrophy"
"meeting place",forum
looking,look
veggie,vegetable
nightcrawler,earthworm
"beach chair","deck chair"
adhesion,adhesiveness
adhesion,attachment
"Polybotria cervina",hart's-tongue
"market price","market value"
design,blueprint
design,purpose
design,invention
weirdie,creep
adhesive,"adhesive material"
"bond paper",bond
wager,bet
wager,stake
kainogenesis,cenogenesis
"Gymnadenia odoratissima","short-spurred fragrant orchid"
"index finger",index
executing,execution
"cave man",caveman
"Allium haematochiton","red-skinned onion"
"gustatory modality",taste
steamer,"soft-shell clam"
"Cuscuta gronovii","love vine"
"tip truck","dump truck"
"Notophthalmus viridescens","red eft"
"Viburnum prunifolium","black haw"
"luggage carrousel",carousel
"Lee's Birthday","Robert E Lee's Birthday"
muscularity,brawn
muscularity,energy
"Pacific plum","Sierra plum"
martingale,"dolphin striker"
titre,titer
"Ceratopteris thalictroides","floating fern"
"Hippopotamus amphibius",hippopotamus
dictum,pronouncement
dictum,"obiter dictum"
"systema skeletale","skeletal system"
"Cleistes divaricata","spreading pogonia"
pectus,thorax
conniption,fit
noble-mindedness,high-mindedness
"family tree",genealogy
glasshouse,greenhouse
"European elder",bourtree
dapple-gray,dapple-grey
"Delonix regia","royal poinciana"
"Chilomeniscus cinctus","banded sand snake"
openhandedness,munificence
duelist,dueler
"mythical creature","mythical monster"
ablism,ableism
"Gnetum gnemon",gnetum
"simple regression",regression
titty,breast
"Cyclamen hederifolium",sowbread
"domed stadium",dome
"Leucanthemum vulgare","oxeye daisy"
taper,wick
taper,candle
fruit,yield
"molar pregnancy","hydatid mole"
applemint,"apple mint"
"freshwater bream",bream
"toy Manchester terrier","toy Manchester"
unprotectedness,defenselessness
"spring chicken","young person"
"prism spectroscope",spectroscope
"television system",television
sophist,casuist
landline,"land line"
"Enhydra lutris","sea otter"
unguis,"horny structure"
conceptus,embryo
"stinking clover","Rocky Mountain bee plant"
variety,assortment
